filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
_20250227153800_viewcapture01.png,ER,0.3478,absent,228.0,131.0,763.0283802301817,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture02.png,ER,0.2083,absent,102.0,50.0,811.9326681367513,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture03.png,ER,0.2548,absent,85.0,49.0,531.7723889806788,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture04.png,ER,0.2609,absent,139.0,89.0,921.234936542034,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture05.png,ER,0.2521,absent,123.0,78.0,864.7238999040278,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture06.png,ER,0.2609,absent,46.0,20.0,207.01908686337845,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture1.png,ER,0.5172,absent,65.0,26.0,68.48332952430157,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture111.png,ER,0.303,absent,20.0,9.0,69.06941912595238,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture2.png,ER,0.2609,absent,10.0,8.0,88.05485120446276,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture3.png,ER,0.2609,absent,10.0,8.0,88.05485120446276,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture4.png,ER,0.3306,absent,187.0,124.0,799.3639121968581,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture5.png,ER,0.2542,absent,93.0,65.0,708.7463174568063,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture6.png,ER,0.2632,absent,119.0,77.0,783.1546059082814,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture7.png,ER,0.2632,absent,115.0,69.0,701.7878936061223,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture71.png,ER,0.6612,absent,136.0,89.0,143.434250374033,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227153800_viewcapture8.png,ER,0.2632,absent,167.0,112.0,1139.1339722302275,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227175405_viewcapture49.png,HER2,0.708,absent,,,,,False,124.0,0.998674364943514,51.88082399999999,membrane completeness only; never 0/1+/2+/3+
_20250227175405_viewcapture50.png,HER2,0.381,absent,,,,,False,86.0,0.9993806351278391,47.8305495,membrane completeness only; never 0/1+/2+/3+
_20250227175405_viewcapture51.png,HER2,0.2609,absent,,,,,False,5.0,0.9991666666666668,88.82979705000001,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture39.png,HER2,0.5085,absent,,,,,False,111.0,0.9957729169209276,68.52164624999999,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture40.png,HER2,0.4511,absent,,,,,False,65.0,0.9978436225190632,55.75659154,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture41.png,HER2,0.5303,absent,,,,,False,91.0,0.9938054744306822,55.39996373,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture42.png,HER2,0.4348,absent,,,,,False,171.0,0.9971183390065532,65.97881296,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture43.png,HER2,0.4918,absent,,,,,False,153.0,0.9972296207025674,54.903863480000005,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture44.png,HER2,0.4444,absent,,,,,False,75.0,0.9974205420636738,53.52015856,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture45.png,HER2,0.4839,absent,,,,,False,113.0,0.9982416244224612,68.14033011000001,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture46.png,HER2,0.4959,absent,,,,,False,131.0,0.9957075459046189,75.98829429,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture47.png,HER2,0.5303,absent,,,,,False,39.0,0.9966306628632728,47.52585721,membrane completeness only; never 0/1+/2+/3+
_20250227175418_viewcapture48.png,HER2,0.404,absent,,,,,False,106.0,0.9974590563956364,73.12076800000001,membrane completeness only; never 0/1+/2+/3+
_20250227175431_viewcapture36.png,HER2,2.4793,absent,,,,,False,28.0,0.9834431689342404,52.248892165,membrane completeness only; never 0/1+/2+/3+
