filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
_20250227163701_viewcapture27.png,PR,0.3361,absent,46.0,24.0,147.68188175148765,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture28.png,PR,0.3774,absent,63.0,35.0,170.81155776793352,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture29.png,PR,0.4348,absent,53.0,24.0,88.24399707871729,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163714_viewcapture21.png,PR,0.5455,adequate,3721.0,136.0,317.68916210015834,3.6549314700349367,True,,,,
_20250227163714_viewcapture22.png,PR,0.396,adequate,1668.0,60.0,265.9585026637662,3.597122302158273,True,,,,
_20250227163727_viewcapture15.png,PR,0.4464,absent,144.0,57.0,198.8288884053065,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163727_viewcapture16.png,PR,0.283,absent,50.0,29.0,251.6970512092618,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163727_viewcapture17.png,PR,0.2143,absent,26.0,13.0,196.76688523500755,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163727_viewcapture18.png,PR,0.303,absent,17.0,4.0,30.28501094934132,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163727_viewcapture19.png,PR,0.4587,absent,7.0,1.0,3.303661334263438,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163727_viewcapture20.png,PR,0.4959,absent,19.0,9.0,25.43942515787422,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163739_viewcapture14.png,PR,0.404,absent,0.0,0.0,0.0,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture10.png,PR,0.2609,absent,17.0,2.0,20.423719543856265,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture11.png,PR,0.2609,absent,8.0,7.0,71.48301840349693,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture12.png,PR,0.381,absent,117.0,64.0,306.4665104536979,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture13.png,PR,0.3361,absent,100.0,64.0,393.8183513373004,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture14.png,PR,0.3,absent,78.0,40.0,308.9373966942308,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture3.png,PR,1.0989,absent,80.0,39.0,22.449220255686782,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture5.png,PR,0.3093,absent,53.0,34.0,247.04272987446973,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture6.png,PR,1.0638,absent,118.0,63.0,38.69666860027484,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture8.png,PR,0.2609,absent,36.0,21.0,214.4490552104908,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163805_viewcapture9.png,PR,0.2609,absent,69.0,48.0,490.1692690525504,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227173740_viewcapture.png,PR,0.2609,absent,20.0,11.0,112.33045749120946,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227173740_viewcapture1.png,PR,0.2609,absent,1.0,0.0,0.0,,False,,,,"counterstain absent: no denominator, percent withheld"
